,all_data,formattedLocation,country
78,"Newburyport, MA, United States","Newburyport, MA",United States of America
79,"Prague, Prague, Czechia, Czechia","Prague, Prague, Czechia",Czechia
80,"Nampa, ID, United States","Nampa, ID",United States of America
81,"San Joaquin, CA, United States","San Joaquin, CA",United States of America
82,"Budapest, Budapest, Hungary, Hungary","Budapest, Budapest, Hungary",Hungary
83,"Bangkok, Bangkok City, Thailand, Thailand","Bangkok, Bangkok City, Thailand",Thailand
84,"Newton-Le-Willows, England, United Kingdom, United Kingdom","Newton-Le-Willows, England, United Kingdom",United Kingdom
85,"Caldwell, NJ, United States","Caldwell, NJ",United States of America
86,"Greater Bournemouth Area, United Kingdom",Greater Bournemouth Area,United Kingdom
87,"VÃ¡c, Pest, Hungary, Hungary","VÃ¡c, Pest, Hungary",Hungary
88,"Spring Hill, Queensland, Australia, Australia","Spring Hill, Queensland, Australia",Australia
89,"Clive, England, United Kingdom, United Kingdom","Clive, England, United Kingdom",United Kingdom
90,"VÃ©lizy-Villacoublay, Ãle-de-France, France, France","VÃ©lizy-Villacoublay, Ãle-de-France, France",France
91,"Lubbock, TX, United States","Lubbock, TX",United States of America
92,"Greater Leicester Area, United Kingdom",Greater Leicester Area,United Kingdom
93,"Lincoln, IL, United States","Lincoln, IL",United States of America
94,"Hollis, NH, United States","Hollis, NH",United States of America
95,"Shannon, MS, United States","Shannon, MS",United States of America
96,"Surrey, BC, Canada","Surrey, BC",Canada
97,"Portsmouth, England, United Kingdom, United Kingdom","Portsmouth, England, United Kingdom",United Kingdom
98,"Leatherhead, England, United Kingdom, United Kingdom","Leatherhead, England, United Kingdom",United Kingdom
99,"Cologny, Geneva, Switzerland, Switzerland","Cologny, Geneva, Switzerland",Switzerland
100,"Barlborough, England, United Kingdom, United Kingdom","Barlborough, England, United Kingdom",United Kingdom
101,"West End, Queensland, Australia, Australia","West End, Queensland, Australia",Australia
102,"New Plymouth, Taranaki, New Zealand, New Zealand","New Plymouth, Taranaki, New Zealand",New Zealand
103,"JinoÄany, Central Bohemia, Czechia, Czechia","JinoÄany, Central Bohemia, Czechia",Czechia
104,"Rostov, Rostov, Russia, Russia","Rostov, Rostov, Russia",Russia
105,"Great Staughton, England, United Kingdom, United Kingdom","Great Staughton, England, United Kingdom",United Kingdom
106,"Mather, CA, United States","Mather, CA",United States of America
107,"Peterborough, England, United Kingdom, United Kingdom","Peterborough, England, United Kingdom",United Kingdom
108,"VÃ¤sterÃ¥s kommun, VÃ¤stmanland County, Sweden, Sweden","VÃ¤sterÃ¥s kommun, VÃ¤stmanland County, Sweden",Sweden
109,"Sarajevo-Canton Sarajevo-Bosnia and Herzegovina YU, Bosnia and Herzegovina",Sarajevo-Canton Sarajevo-Bosnia and Herzegovina YU,Bosnia and Herzegovina
110,"Abbotsbury, England, United Kingdom, United Kingdom","Abbotsbury, England, United Kingdom",United Kingdom
111,"âs-Hertogenbosch, North Brabant, Netherlands, Netherlands","âs-Hertogenbosch, North Brabant, Netherlands",Netherlands
112,"Little Bollington, England, United Kingdom, United Kingdom","Little Bollington, England, United Kingdom",United Kingdom
113,"Dalton, MA, United States","Dalton, MA",United States of America
114,"Sahuarita, AZ, United States","Sahuarita, AZ",United States of America
115,"Murcia, RegiÃ³n de Murcia, Spain, Spain","Murcia, RegiÃ³n de Murcia, Spain",Spain
116,"Elmira, NY, United States","Elmira, NY",United States of America
117,"Shandong, China, China","Shandong, China",China
118,"Claines, England, United Kingdom, United Kingdom","Claines, England, United Kingdom",United Kingdom
119,"Haymarket, VA, United States","Haymarket, VA",United States of America
120,"Castle Donington, England, United Kingdom, United Kingdom","Castle Donington, England, United Kingdom",United Kingdom
121,"Arlington, VT, United States","Arlington, VT",United States of America
122,"Greater Liverpool Area, United Kingdom",Greater Liverpool Area,United Kingdom
123,"Ashland, MA, United States","Ashland, MA",United States of America
124,"HÃ¸rsholm, Capital Region of Denmark, Denmark, Denmark","HÃ¸rsholm, Capital Region of Denmark, Denmark",Denmark
125,"Belfast Metropolitan Area, United Kingdom",Belfast Metropolitan Area,United Kingdom
126,"Greater Derby Area, United Kingdom",Greater Derby Area,United Kingdom
127,"Ashford, England, United Kingdom, United Kingdom","Ashford, England, United Kingdom",United Kingdom
128,"Southend-On-Sea, England, United Kingdom, United Kingdom","Southend-On-Sea, England, United Kingdom",United Kingdom
129,"Petaling Jaya, Selangor, Malaysia, Malaysia","Petaling Jaya, Selangor, Malaysia",Malaysia
130,"Merchantville, NJ, United States","Merchantville, NJ",United States of America
131,"Eindhoven, North Brabant, Netherlands, Netherlands","Eindhoven, North Brabant, Netherlands",Netherlands
132,"Derby, England, United Kingdom, United Kingdom","Derby, England, United Kingdom",United Kingdom
133,"Manila, National Capital Region, Philippines, Philippines","Manila, National Capital Region, Philippines",Philippines
134,"Poole, England, United Kingdom, United Kingdom","Poole, England, United Kingdom",United Kingdom
135,"Zaventem, Flemish Region, Belgium, Belgium","Zaventem, Flemish Region, Belgium",Belgium
136,"Farmington, UT, United States","Farmington, UT",United States of America
137,"Duckington, England, United Kingdom, United Kingdom","Duckington, England, United Kingdom",United Kingdom
138,"Seaford, England, United Kingdom, United Kingdom","Seaford, England, United Kingdom",United Kingdom
139,"New Albany, OH, United States","New Albany, OH",United States of America
140,"Safidon, Haryana, India, India","Safidon, Haryana, India",India
141,"Letchworth, England, United Kingdom, United Kingdom","Letchworth, England, United Kingdom",United Kingdom
142,"Greater Southampton Area, United Kingdom",Greater Southampton Area,United Kingdom
143,"Herzogenaurach, Bavaria, Germany, Germany","Herzogenaurach, Bavaria, Germany",Germany
144,"Winter Springs, FL, United States","Winter Springs, FL",United States of America
145,"Wauseon, OH, United States","Wauseon, OH",United States of America
146,"Wauregan, CT, United States","Wauregan, CT",United States of America
147,"Palmerston North, ManawatÅ«-Whanganui, New Zealand, New Zealand","Palmerston North, ManawatÅ«-Whanganui, New Zealand",New Zealand
148,"Isleworth, England, United Kingdom, United Kingdom","Isleworth, England, United Kingdom",United Kingdom
149,"Greater Winnipeg Metropolitan Area, Canada",Greater Winnipeg Metropolitan Area,Canada
150,"Littlewick Green, England, United Kingdom, United Kingdom","Littlewick Green, England, United Kingdom",United Kingdom
151,"Tracy, MN, United States","Tracy, MN",United States of America
152,"Worthing, SD, United States","Worthing, SD",United States of America
153,"Kanata, ON, Canada","Kanata, ON",Canada
154,"Gamlestaden, VÃ¤stra GÃ¶taland County, Sweden, Sweden","Gamlestaden, VÃ¤stra GÃ¶taland County, Sweden",Sweden
155,"Alexander City, AL, United States","Alexander City, AL",United States of America
156,"Sobradinho, Federal District, Brazil, Brazil","Sobradinho, Federal District, Brazil",Brazil
157,"Aldershot, England, United Kingdom, United Kingdom","Aldershot, England, United Kingdom",United Kingdom
158,"Solna kommun, Stockholm County, Sweden, Sweden","Solna kommun, Stockholm County, Sweden",Sweden
159,"South Korea, South Korea",South Korea,South Korea
160,"Kalgoorlie, Western Australia, Australia, Australia","Kalgoorlie, Western Australia, Australia",Australia
161,"Hangzhou, Zhejiang, China, China","Hangzhou, Zhejiang, China",China
162,"Ulm, Baden-WÃ¼rttemberg, Germany, Germany","Ulm, Baden-WÃ¼rttemberg, Germany",Germany
163,"Stuttgart, Baden-WÃ¼rttemberg, Germany, Germany","Stuttgart, Baden-WÃ¼rttemberg, Germany",Germany
164,"Bellinzago Lombardo, Lombardy, Italy, Italy","Bellinzago Lombardo, Lombardy, Italy",Italy
165,"Dargate, England, United Kingdom, United Kingdom","Dargate, England, United Kingdom",United Kingdom
166,"Pepperell, MA, United States","Pepperell, MA",United States of America
167,"Lake Elmo, MN, United States","Lake Elmo, MN",United States of America
168,"Simsbury, CT, United States","Simsbury, CT",United States of America
169,"Shinfield, England, United Kingdom, United Kingdom","Shinfield, England, United Kingdom",United Kingdom
170,"Dayton, TN, United States","Dayton, TN",United States of America
171,"Oxford, PA, United States","Oxford, PA",United States of America
172,"Bempton, England, United Kingdom, United Kingdom","Bempton, England, United Kingdom",United Kingdom
173,"Merion Station, PA, United States","Merion Station, PA",United States of America
174,"Glenside, PA, United States","Glenside, PA",United States of America
175,"Senscheid, Rhineland-Palatinate, Germany, Germany","Senscheid, Rhineland-Palatinate, Germany",Germany
176,"Kuluin, Queensland, Australia, Australia","Kuluin, Queensland, Australia",Australia
177,"St Leonards, New South Wales, Australia, Australia","St Leonards, New South Wales, Australia",Australia
178,"Croydon, New South Wales, Australia, Australia","Croydon, New South Wales, Australia",Australia
179,"Greater Reading Area, United Kingdom",Greater Reading Area,United Kingdom
180,"GCC or Levant market, Not specified",GCC or Levant market,Not specified
181,"Hudsonville, MI, United States","Hudsonville, MI",United States of America
182,"Edmondsham, England, United Kingdom, United Kingdom","Edmondsham, England, United Kingdom",United Kingdom
183,"Bangalore Urban, Karnataka, India, India","Bangalore Urban, Karnataka, India",India
184,"Trondheim, TrÃ¸ndelag, Norway, Norway","Trondheim, TrÃ¸ndelag, Norway",Norway
185,"Wolvega, Friesland, Netherlands, Netherlands","Wolvega, Friesland, Netherlands",Netherlands
186,"ÅÃ³dÅº, ÅÃ³dzkie, Poland, Poland","ÅÃ³dÅº, ÅÃ³dzkie, Poland",Poland
187,"Dry Creek, South Australia, Australia, Australia","Dry Creek, South Australia, Australia",Australia
188,"Christchurch, Canterbury, New Zealand, New Zealand","Christchurch, Canterbury, New Zealand",New Zealand
189,"Ashby-De-La-Zouch, England, United Kingdom, United Kingdom","Ashby-De-La-Zouch, England, United Kingdom",United Kingdom
190,"MÃ¡laga, Andalusia, Spain, Spain","MÃ¡laga, Andalusia, Spain",Spain
191,"Southbury, CT, United States","Southbury, CT",United States of America
192,"Sangenjo, Galicia, Spain, Spain","Sangenjo, Galicia, Spain",Spain
193,"Stadthagen, Lower Saxony, Germany, Germany","Stadthagen, Lower Saxony, Germany",Germany
194,"Hove, England, United Kingdom, United Kingdom","Hove, England, United Kingdom",United Kingdom
195,"Plenty, Victoria, Australia, Australia","Plenty, Victoria, Australia",Australia
196,"Dubai, United Arab Emirates, United Arab Emirates","Dubai, United Arab Emirates",United Arab Emirates
197,"Wellington, Wellington, New Zealand, New Zealand","Wellington, Wellington, New Zealand",New Zealand
198,"Staploe, England, United Kingdom, United Kingdom","Staploe, England, United Kingdom",United Kingdom
199,"Hickory, NC, United States","Hickory, NC",United States of America
200,"Son en Breugel, North Brabant, Netherlands, Netherlands","Son en Breugel, North Brabant, Netherlands",Netherlands
201,"Vernon, IL, United States","Vernon, IL",United States of America
202,"Bondi Beach, New South Wales, Australia, Australia","Bondi Beach, New South Wales, Australia",Australia
203,"Greater Cambridge Area, United Kingdom",Greater Cambridge Area,United Kingdom
204,"Bydgoszcz, Kujawsko-pomorskie, Poland, Poland","Bydgoszcz, Kujawsko-pomorskie, Poland",Poland
205,"Balaclava, Victoria, Australia, Australia","Balaclava, Victoria, Australia",Australia
206,"El Pueblito, QuerÃ©taro, Mexico, Mexico","El Pueblito, QuerÃ©taro, Mexico",Mexico
207,"Frolesworth, England, United Kingdom, United Kingdom","Frolesworth, England, United Kingdom",United Kingdom
208,"Zuchwil, Solothurn, Switzerland, Switzerland","Zuchwil, Solothurn, Switzerland",Switzerland
209,"Porirua, Wellington, New Zealand, New Zealand","Porirua, Wellington, New Zealand",New Zealand
210,"Weetangera, Australian Capital Territory, Australia, Australia","Weetangera, Australian Capital Territory, Australia",Australia
211,"Wayland, MA, United States","Wayland, MA",United States of America
212,"Sharon Hill, PA, United States","Sharon Hill, PA",United States of America
213,"Gliwice, ÅlÄskie, Poland, Poland","Gliwice, ÅlÄskie, Poland",Poland
214,"Washington, UT, United States","Washington, UT",United States of America
215,"PoznaÅ, Wielkopolskie, Poland, Poland","PoznaÅ, Wielkopolskie, Poland",Poland
216,"Brussels Metropolitan Area, Belgium",Brussels Metropolitan Area,Belgium
217,"Valbonne, Provence-Alpes-CÃ´te d'Azur, France, France","Valbonne, Provence-Alpes-CÃ´te d'Azur, France",France
218,"Saint-Martin-dâHÃ¨res, Auvergne-RhÃ´ne-Alpes, France, France","Saint-Martin-dâHÃ¨res, Auvergne-RhÃ´ne-Alpes, France",France
219,"Broad Brook, CT, United States","Broad Brook, CT",United States of America
220,"Ross, CA, United States","Ross, CA",United States of America
221,"CÃ´te d'Ivoire, CÃ´te d'Ivoire",CÃ´te d'Ivoire,CÃ´te d'Ivoire
222,"Hawthorne, NY, United States","Hawthorne, NY",United States of America
223,"Lemon Grove, CA, United States","Lemon Grove, CA",United States of America
224,"Newton Highlands, MA, United States","Newton Highlands, MA",United States of America
225,"Karlsruhe, Baden-WÃ¼rttemberg, Germany, Germany","Karlsruhe, Baden-WÃ¼rttemberg, Germany",Germany
226,"Ely, England, United Kingdom, United Kingdom","Ely, England, United Kingdom",United Kingdom
227,"Hamilton, New South Wales, Australia, Australia","Hamilton, New South Wales, Australia",Australia
228,"Redfern, New South Wales, Australia, Australia","Redfern, New South Wales, Australia",Australia
229,"Sellersburg, IN, United States","Sellersburg, IN",United States of America
230,"Los Angeles, California, United States, United States","Los Angeles, California, United States",United States of America
231,"Thorofare, NJ, United States","Thorofare, NJ",United States of America
232,"Braine-le-ChÃ¢teau, Walloon Region, Belgium, Belgium","Braine-le-ChÃ¢teau, Walloon Region, Belgium",Belgium
233,"Seraing, Walloon Region, Belgium, Belgium","Seraing, Walloon Region, Belgium",Belgium
234,"Romford, England, United Kingdom, United Kingdom","Romford, England, United Kingdom",United Kingdom
235,"Duisburg, North Rhine-Westphalia, Germany, Germany","Duisburg, North Rhine-Westphalia, Germany",Germany
236,"Huajuapan de LeÃ³n, Oaxaca, Mexico, Mexico","Huajuapan de LeÃ³n, Oaxaca, Mexico",Mexico
237,"Bayswater, Victoria, Australia, Australia","Bayswater, Victoria, Australia",Australia
238,"Griesheim, Hesse, Germany, Germany","Griesheim, Hesse, Germany",Germany
239,"Stockholm, NJ, United States","Stockholm, NJ",United States of America
240,"Edmonton, AB, Canada","Edmonton, AB",Canada
241,"Ski, Viken, Norway, Norway","Ski, Viken, Norway",Norway
242,"Clinton, PA, United States","Clinton, PA",United States of America
243,"Bertem, Flemish Region, Belgium, Belgium","Bertem, Flemish Region, Belgium",Belgium
244,"Wavre, Walloon Region, Belgium, Belgium","Wavre, Walloon Region, Belgium",Belgium
245,"Detling, England, United Kingdom, United Kingdom","Detling, England, United Kingdom",United Kingdom
246,"Stowe, VT, United States","Stowe, VT",United States of America
247,"MÃ¼nchwilen, Aargau, Switzerland, Switzerland","MÃ¼nchwilen, Aargau, Switzerland",Switzerland
248,"GdaÅsk, Pomorskie, Poland, Poland","GdaÅsk, Pomorskie, Poland",Poland
249,"Kintbury, England, United Kingdom, United Kingdom","Kintbury, England, United Kingdom",United Kingdom
250,"Dannevirke, ManawatÅ«-Whanganui, New Zealand, New Zealand","Dannevirke, ManawatÅ«-Whanganui, New Zealand",New Zealand
251,"Vallentuna, Stockholm County, Sweden, Sweden","Vallentuna, Stockholm County, Sweden",Sweden
252,"Jersey, Channel Isles, United Kingdom","Jersey, Channel Isles",United Kingdom
253,"Adana, Adana, TÃ¼rkiye, TÃ¼rkiye","Adana, Adana, TÃ¼rkiye",TÃ¼rkiye
254,"Jacksonville Beach, FL, United States","Jacksonville Beach, FL",United States of America
255,"Gaythorne, Queensland, Australia, Australia","Gaythorne, Queensland, Australia",Australia
256,"Boone, IA, United States","Boone, IA",United States of America
257,"Chelsea, MI, United States","Chelsea, MI",United States of America
258,"Hingham, MA, United States","Hingham, MA",United States of America
259,"Calhoun, GA, United States","Calhoun, GA",United States of America
260,"Madison, NY, United States","Madison, NY",United States of America
261,"Hampton In Arden, England, United Kingdom, United Kingdom","Hampton In Arden, England, United Kingdom",United Kingdom
262,"Chaddesley Corbett, England, United Kingdom, United Kingdom","Chaddesley Corbett, England, United Kingdom",United Kingdom
263,"Frankfurt Rhine-Main Metropolitan Area, Germany",Frankfurt Rhine-Main Metropolitan Area,Germany
264,"Belleville, WI, United States","Belleville, WI",United States of America
265,"Middleton Stoney, England, United Kingdom, United Kingdom","Middleton Stoney, England, United Kingdom",United Kingdom
266,"Westwood, CA, United States","Westwood, CA",United States of America
267,"Walled Lake, MI, United States","Walled Lake, MI",United States of America
268,"Dunton Green, England, United Kingdom, United Kingdom","Dunton Green, England, United Kingdom",United Kingdom
269,"KLIA, Selangor, Malaysia, Malaysia","KLIA, Selangor, Malaysia",Malaysia
270,"Bankstown, New South Wales, Australia, Australia","Bankstown, New South Wales, Australia",Australia
271,"Heidelberg, Baden-WÃ¼rttemberg, Germany, Germany","Heidelberg, Baden-WÃ¼rttemberg, Germany",Germany
272,"Armilla, Andalusia, Spain, Spain","Armilla, Andalusia, Spain",Spain
273,"St Francisville, LA, United States","St Francisville, LA",United States of America
274,"Pudsey, England, United Kingdom, United Kingdom","Pudsey, England, United Kingdom",United Kingdom
275,"Mehoopany, PA, United States","Mehoopany, PA",United States of America
276,"River Rouge, MI, United States","River Rouge, MI",United States of America
277,"Nicasio, CA, United States","Nicasio, CA",United States of America
278,"Rangeley, ME, United States","Rangeley, ME",United States of America
279,"Williston, SC, United States","Williston, SC",United States of America
280,"Tumakuru, Karnataka, India, India","Tumakuru, Karnataka, India",India
281,"Mornington, Victoria, Australia, Australia","Mornington, Victoria, Australia",Australia
282,"Katowice, ÅlÄskie, Poland, Poland","Katowice, ÅlÄskie, Poland",Poland
283,"Southbank, Victoria, Australia, Australia","Southbank, Victoria, Australia",Australia
284,"Cedar Grove, NJ, United States","Cedar Grove, NJ",United States of America
285,"Kisarazu, Chiba, Japan, Japan","Kisarazu, Chiba, Japan",Japan
286,"McLean, NE, United States","McLean, NE",United States of America
287,"Llanrwst, Wales, United Kingdom, United Kingdom","Llanrwst, Wales, United Kingdom",United Kingdom
288,"Markdorf, Baden-WÃ¼rttemberg, Germany, Germany","Markdorf, Baden-WÃ¼rttemberg, Germany",Germany
289,"Laleham, England, United Kingdom, United Kingdom","Laleham, England, United Kingdom",United Kingdom
290,"Loughborough, England, United Kingdom, United Kingdom","Loughborough, England, United Kingdom",United Kingdom
291,"Majadahonda, Community of Madrid, Spain, Spain","Majadahonda, Community of Madrid, Spain",Spain
292,"GorzÃ³w Wielkopolski, Lubuskie, Poland, Poland","GorzÃ³w Wielkopolski, Lubuskie, Poland",Poland
293,"Mandurah, Western Australia, Australia, Australia","Mandurah, Western Australia, Australia",Australia
294,"Whitsett, NC, United States","Whitsett, NC",United States of America
295,"Cody, WY, United States","Cody, WY",United States of America
296,"Ravensburg, Baden-WÃ¼rttemberg, Germany, Germany","Ravensburg, Baden-WÃ¼rttemberg, Germany",Germany
297,"Levallois-Perret, Ãle-de-France, France, France","Levallois-Perret, Ãle-de-France, France",France
298,"Vannes, Brittany, France, France","Vannes, Brittany, France",France
299,"Detroit, AL, United States","Detroit, AL",United States of America
300,"Enskededalen, Stockholm County, Sweden, Sweden","Enskededalen, Stockholm County, Sweden",Sweden
301,"Essendon Fields, Victoria, Australia, Australia","Essendon Fields, Victoria, Australia",Australia
302,"SecunderÄbÄd, Telangana, India, India","SecunderÄbÄd, Telangana, India",India
303,"Radford, VA, United States","Radford, VA",United States of America
304,"RzeszÃ³w, Podkarpackie, Poland, Poland","RzeszÃ³w, Podkarpackie, Poland",Poland
305,"Olmsted Falls, OH, United States","Olmsted Falls, OH",United States of America
306,"Fiskdale, MA, United States","Fiskdale, MA",United States of America
307,"Barby, England, United Kingdom, United Kingdom","Barby, England, United Kingdom",United Kingdom
308,"MÃ´tiers, NeuchÃ¢tel, Switzerland, Switzerland","MÃ´tiers, NeuchÃ¢tel, Switzerland",Switzerland
309,"Catonsville, MD, United States","Catonsville, MD",United States of America
310,"SarÄ±yer, Istanbul, TÃ¼rkiye, TÃ¼rkiye","SarÄ±yer, Istanbul, TÃ¼rkiye",TÃ¼rkiye
311,"Eastry, England, United Kingdom, United Kingdom","Eastry, England, United Kingdom",United Kingdom
312,"Northfield, NJ, United States","Northfield, NJ",United States of America
313,"Gladstone Park, Victoria, Australia, Australia","Gladstone Park, Victoria, Australia",Australia
314,"Studham, England, United Kingdom, United Kingdom","Studham, England, United Kingdom",United Kingdom
315,"Harper Woods, MI, United States","Harper Woods, MI",United States of America
316,"Serres-Sainte-Marie, Nouvelle-Aquitaine, France, France","Serres-Sainte-Marie, Nouvelle-Aquitaine, France",France
317,"St Austell, England, United Kingdom, United Kingdom","St Austell, England, United Kingdom",United Kingdom
318,"Martorell, Catalonia, Spain, Spain","Martorell, Catalonia, Spain",Spain
319,"Sherman, CT, United States","Sherman, CT",United States of America
320,"Eysins, Vaud, Switzerland, Switzerland","Eysins, Vaud, Switzerland",Switzerland
321,"Blackpool Area, United Kingdom",Blackpool Area,United Kingdom
322,"Satellite Beach, FL, United States","Satellite Beach, FL",United States of America
323,"Ath, Walloon Region, Belgium, Belgium","Ath, Walloon Region, Belgium",Belgium
324,"Broadclyst, England, United Kingdom, United Kingdom","Broadclyst, England, United Kingdom",United Kingdom
325,"Geldermalsen, Gelderland, Netherlands, Netherlands","Geldermalsen, Gelderland, Netherlands",Netherlands
326,"Springfield, OH, United States","Springfield, OH",United States of America
327,"Guelph, ON, Canada","Guelph, ON",Canada
