all_data,formattedLocation,country
"Bareilly, IN, IN","Bareilly, IN",India
"Auburn Hills, DE, US, US","Auburn Hills, DE, US",United States of America
"Wayne, OH, US, US","Wayne, OH, US",United States of America
"Lee, MA, US, US","Lee, MA, US",United States of America
"Tempe, Arizona, United States, United States","Tempe,Arizona,United States",United States
"Dachau, DE, DE","Dachau, DE",Germany
"AlÃ­garh, IN, IN","AlÃ„Â«garh, IN",India
"Tuusula, FI, FI","Tuusula, FI",Finland
"SÃ£o Leopoldo, BR, BR","SÃƒÂ£o Leopoldo, BR",Brazil
"Delaware, DE, US, US","Delaware, DE, US",United States of America
"Ottobrunn, DE, DE","Ottobrunn, DE",Germany
"Lewiston, ME, US, US","Lewiston, ME, US",United States of America
"Espelkamp, DE, DE","Espelkamp, DE",Germany
"Sant Cugat del VallÃ¨s, ES, ES","Sant Cugat del VallÃƒÂ¨s, ES",Spain
"BhÃ¤galpur, IN, IN","BhÃ„Âgalpur, IN",India
"Chatswood, AU, AU","Chatswood, AU",Australia
"Kinross, GB, GB","Kinross, GB",United Kingdom
"Klang, MY, MY","Klang, MY",Malaysia
"Lower East Side, NY, US, US","Lower East Side, NY, US",United States of America
"Barueri, BR, BR","Barueri, BR",Brazil
"Saucon Valley, PA, US, US","Saucon Valley, PA, US",United States of America
"Homestead, PA, US, US","Homestead, PA, US",United States of America
"Ridgefield Park, NJ, US, US","Ridgefield Park, NJ, US",United States of America
"Gardiner, NY, US, US","Gardiner, NY, US",United States of America
"Fort Dodge, IA, US, US","Fort Dodge, IA, US",United States of America
"KrÃ³kÃ³w, PL, PL","KrÃ„Â…kÃƒÂ³w, PL",Poland
"Franklin, GA, US, US","Franklin, GA, US",United States of America
"Fraser, MI, US, US","Fraser, MI, US",United States of America
"Lufkin, TX, US, US","Lufkin, TX, US",United States of America
"Pontevedra, ES, ES","Pontevedra, ES",Spain
"West Point, GA, US, US","West Point, GA, US",United States of America
"Danville, CA, US, US","Danville, CA, US",United States of America
"Rapid City, SD, US, US","Rapid City, SD, US",United States of America
"Getafe, ES, ES","Getafe, ES",Spain
"Dublin, Ireland, Ireland","Dublin,Ireland",Ireland
"Mölndal, SE, SE","MÃƒÂ¶lndal, SE",Sweden
"Fort Washington, MD, US, US","Fort Washington, MD, US",United States of America
"Wellman, IA, US, US","Wellman, IA, US",United States of America
"Mitchellville, IA, US, US","Mitchellville, IA, US",United States of America
"Freetown, SL, SL","Freetown, SL",Sierra Leone
"Kumasi, GH, GH","Kumasi, GH",Ghana
"Tema, GH, GH","Tema, GH",Ghana
"Barcelona, 08020, ES, ES","Barcelona, 08020, ES",Spain
"Bad Vilbel, 61118, DE, DE","Bad Vilbel, 61118, DE",Germany
"Turin, 10137, IT, IT","Turin, 10137, IT",Italy
"Milano, 20147, IT, IT","Milano, 20147, IT",Italy
"Sant Cugat del Vallès, 08195, ES, ES","Sant Cugat del VallÃƒÂ¨s, 08195, ES",Spain
"Greenford, OH, US, US","Greenford, OH, US",United States of America
"Higley, AZ, US, US","Higley, AZ, US",United States of America
"Charlotte, NC 28201, US, US","Charlotte, NC 28201, US",United States of America
"Mechanicsville, IA, US, US","Mechanicsville, IA, US",United States of America
"Harrow on the Hill, HA5, GB, GB","Harrow on the Hill, HA5, GB",United Kingdom
"Birmingham, ENG, GB, GB","Birmingham, ENG, GB",United Kingdom
"Parnell, IA, US, US","Parnell, IA, US",United States of America
"Luton, LU1, GB, GB","Luton, LU1, GB",United Kingdom
"West Reading, PA, US, US","West Reading, PA, US",United States of America
"Deadwood, SD, US, US","Deadwood, SD, US",United States of America
"Lawton, IA, US, US","Lawton, IA, US",United States of America
"Eden Prairie, MN 55344, US, US","Eden Prairie, MN 55344, US",United States of America
"Paradise Valley, AZ, US, US","Paradise Valley, AZ, US",United States of America
"Noida, 36, IN, IN","Noida, 36, IN",India
"São Paulo, 01000-000, BR, BR","SÃƒÂ£o Paulo, 01000-000, BR",Brazil
"Delavan, WI, US, US","Delavan, WI, US",United States of America
"Swan, IA, US, US","Swan, IA, US",United States of America
"Macau, 99999, MO, MO","Macau, 99999, MO",China
"Winchester, SO23, GB, GB","Winchester, SO23, GB",United Kingdom
"Whitewood, SD, US, US","Whitewood, SD, US",United States of America
"Exeter, EX2, GB, GB","Exeter, EX2, GB",United Kingdom
"Diegem, 1831, BE, BE","Diegem, 1831, BE",Belgium
"Hatfield, England, GB, GB","Hatfield, England, GB",United Kingdom
"Tonbridge, TN9, GB, GB","Tonbridge, TN9, GB",United Kingdom
"Northampton, NN1, GB, GB","Northampton, NN1, GB",United Kingdom
"Bexley, DA5, GB, GB","Bexley, DA5, GB",United Kingdom
"Antwerpen, 2000, BE, BE","Antwerpen, 2000, BE",Belgium
"St. John's, E2K 4N7, CA, CA","St. John's, E2K 4N7, CA",United States of America
"Market Harborough, LE16, GB, GB","Market Harborough, LE16, GB",United Kingdom
"Hereford, HR1, GB, GB","Hereford, HR1, GB",United Kingdom
"Walthill, NE, US, US","Walthill, NE, US",United States of America
"Nottingham, England, GB, GB","Nottingham, England, GB",United Kingdom
"Slough, SL1 1XY, GB, GB","Slough, SL1 1XY, GB",United Kingdom
"Amsterdam, 1005, NL, NL","Amsterdam, 1005, NL",Netherlands
"Southard, OK, US, US","Southard, OK, US",United States of America
"Pozuelo de Alarcón, 28224, ES, ES","Pozuelo de AlarcÃƒÂ³n, 28224, ES",Spain
"New York City, NY 10007, US, US","New York City, NY 10007, US",United States of America
"Cupertino, CA 95014, US, US","Cupertino, CA 95014, US",United States of America
"Pittsburgh, PA 15201, US, US","Pittsburgh, PA 15201, US",United States of America
"Newark, NJ 07101, US, US","Newark, NJ 07101, US",United States of America
"Cluj-Napoca, 400880, RO, RO","Cluj-Napoca, 400880, RO",Romania
"Lincoln, NE 68501, US, US","Lincoln, NE 68501, US",United States of America
"Iași, RO, RO","IaÃ…ÂŸi, RO",Romania
"Fruitdale, SD, US, US","Fruitdale, SD, US",United States of America
"Foster City, CA 94404, US, US","Foster City, CA 94404, US",United States of America
"San Francisco, CA 94101, US, US","San Francisco, CA 94101, US",United States of America
"Tiffin, IA, US, US","Tiffin, IA, US",United States of America
"Tabūk, 99999, SA, SA","TabÃ…Â«k, 99999, SA",South Africa
"Coralville, IA, US, US","Coralville, IA, US",United States of America
"Gaffney, SC, US, US","Gaffney, SC, US",United States of America
"Bromley, BR1, GB, GB","Bromley, BR1, GB",United Kingdom
"Cleveland, OH 44101, US, US","Cleveland, OH 44101, US",United States of America
"Yola, NG, NG","Yola, NG",Nigeria
"Newcastle upon Tyne, NE98, GB, GB","Newcastle upon Tyne, NE98, GB",United Kingdom
"Jefferson, SD, US, US","Jefferson, SD, US",United States of America
"Abingdon, OX14, GB, GB","Abingdon, OX14, GB",United Kingdom
"Ely, IA, US, US","Ely, IA, US",United States of America
"Milton Keynes, MK6, GB, GB","Milton Keynes, MK6, GB",United Kingdom
"Redhill, RH1, GB, GB","Redhill, RH1, GB",United Kingdom
"Frazer, PA, US, US","Frazer, PA, US",United States of America
"Ramat Gan, IL, IL","Ramat Gan, IL",Israel
"Blaine, WA, US, US","Blaine, WA, US",United States of America
"Boven-Hardinxveld, NL, NL","Boven-Hardinxveld, NL",Netherlands
"Centralia, IL, US, US","Centralia, IL, US",United States of America
"Laguna Beach, CA, US, US","Laguna Beach, CA, US",United States of America
"Burlington, ON, CA","Burlington, ON",United States of America
"Rosemead, CA, US, US","Rosemead, CA, US",United States of America
"Apopka, FL, US, US","Apopka, FL, US",United States of America
"Timișoara, RO, RO","TimiÃ…ÂŸoara, RO",Romania
"Bewdley, GB, GB","Bewdley, GB",United Kingdom
"Peapack, NJ, US, US","Peapack, NJ, US",United States of America
"Salisbury, NC, US, US","Salisbury, NC, US",United States of America
"Limbourg, BE, BE","Limbourg, BE",Belgium
"Barboursville, WV, US, US","Barboursville, WV, US",United States of America
"Parkville, MD, US, US","Parkville, MD, US",United States of America
"Republic of Uganda, UG, UG","Republic of Uganda, UG",Uganda
"Mullica Hill, NJ, US, US","Mullica Hill, NJ, US",United States of America
"Hope, OH, US, US","Hope, OH, US",United States of America
"Itānagar, IN, IN","ItÃ„Ânagar, IN",India
"Ashurst, England, United Kingdom, United Kingdom","Ashurst, England, United Kingdom",United Kingdom
"Yarmouth, CA, CA","Yarmouth, CA",United States of America
"Erode, IN, IN","Erode, IN",India
"Avila Beach, CA, US","Avila Beach, CA",United States of America
"Gémenos, Provence-Alpes-Côte d'Azur, France, France","GÃƒÂ©menos, Provence-Alpes-CÃƒÂ´te d'Azur, France",France
"Avon, MN, US","Avon, MN",United States of America
"Lombardy East, Gauteng, South Africa, South Africa","Lombardy East, Gauteng, South Africa",South Africa
"Kunming, Yunnan, China, China","Kunming, Yunnan, China",China
"Staples, MN, US","Staples, MN",United States of America
"Santa Maria da Feira, Aveiro, Portugal, Portugal","Santa Maria da Feira, Aveiro, Portugal",Portugal
"Riverside, NJ, US, US","Riverside, NJ",United States of America
"Nepean, CA, CA","Nepean, CA",United States of America
"Snoqualmie, WA, US, US","Snoqualmie, WA, US",United States of America
"Daly City, CA, US, US","Daly City, CA, US",United States of America
"Los Banos, CA, US, US","Los Banos, CA, US",United States of America
"Fort Stewart, GA, US, US","Fort Stewart, GA, US",United States of America
"Trenton, TN, US, US","Trenton, TN, US",United States of America
"Enterprise, AL, US, US","Enterprise, AL, US",United States of America
"Rehoboth, MA, US, US","Rehoboth, MA, US",United States of America
"New Albany, IN, US, US","New Albany, IN, US",United States of America
"Arab, AL, US, US","Arab, AL, US",United States of America
"Rio Rancho, NM, US, US","Rio Rancho, NM, US",United States of America
"Mount Carmel, TN, US, US","Mount Carmel, TN, US",United States of America
"Hodges, SC, US, US","Hodges, SC, US",United States of America
"Anniston, AL, US, US","Anniston, AL, US",United States of America
"Hastings, GB, GB","Hastings, GB",United Kingdom
"Calhoun County, MI, US, US","Calhoun County, MI, US",United States of America
"Osceola, AR, US, US","Osceola, AR, US",United States of America
"Ridingmill, GB, GB","Ridingmill, GB",United Kingdom
"Sterling, UT, US, US","Sterling, UT, US",United States of America
"Mokrá, CZ, CZ","MokrÃƒÂ¡, CZ",Czech Republic
"Lenoir, NC, US, US","Lenoir, NC, US",United States of America
"Columbus, NE, US, US","Columbus, NE, US",United States of America
"Towanda, PA, US, US","Towanda, PA, US",United States of America
"Encino, TX, US, US","Encino, TX, US",United States of America
"Wayne, IN, US, US","Wayne, IN, US",United States of America
"Atlanta, MI, US, US","Atlanta, MI, US",United States of America
"Owings Mills, MD, US, US","Owings Mills, MD, US",United States of America
"Chesterfield County, VA, US, US","Chesterfield County, VA, US",United States of America
"Stockholms Kommun, SE, SE","Stockholms Kommun, SE",Sweden
"Cranleigh, GB, GB","Cranleigh, GB",United Kingdom
"Neuherberg, DE, DE","Neuherberg, DE",Germany
"Edwards, CO, US, US","Edwards, CO, US",United States of America
"Norfolk, GB, GB","Norfolk, GB",United Kingdom
"Patrick AFB, FL, US, US","Patrick AFB, FL, US",United States of America
"North Shore, NZ, NZ","North Shore, NZ",New Zealand
"Ridgefield, CT, US, US","Ridgefield, CT, US",United States of America
"Kāne‘ohe, HI, US, US","KÃ„ÂneÃ¢Â€Â˜ohe, HI, US",United States of America
"Pikeville, KY, US, US","Pikeville, KY, US",United States of America
"Farmingdale, NJ, US, US","Farmingdale, NJ, US",United States of America
"Canton, GA, US, US","Canton, GA, US",United States of America
"Curtis Bay, MD, US, US","Curtis Bay, MD, US",United States of America
"Glendale, CO, US, US","Glendale, CO, US",United States of America
"Walsenburg, CO, US, US","Walsenburg, CO, US",United States of America
"Kingman, AZ, US, US","Kingman, AZ, US",United States of America
"Tanque Verde, AZ, US, US","Tanque Verde, AZ, US",United States of America
"Madras, OR, US, US","Madras, OR, US",United States of America
"Sherwood, OR, US, US","Sherwood, OR, US",United States of America
"Chino Valley, AZ, US, US","Chino Valley, AZ, US",United States of America
"Sahuarita, AZ, US, US","Sahuarita, AZ, US",United States of America
"Albany, OR, US, US","Albany, OR, US",United States of America
"Gilroy, CA, US, US","Gilroy, CA, US",United States of America
"McKinleyville, CA, US, US","McKinleyville, CA, US",United States of America
"Edmonds, WA, US, US","Edmonds, WA, US",United States of America
"Colville, WA, US, US","Colville, WA, US",United States of America
"Guadalupe, AZ, US, US","Guadalupe, AZ, US",United States of America
"Sault Ste. Marie, MI, US, US","Sault Ste. Marie, MI, US",United States of America
"Palm Springs, CA, US, US","Palm Springs, CA, US",United States of America
"Cali, CO, CO","Cali, CO",Colombia
"Mashpee, MA, US, US","Mashpee, MA, US",United States of America
"Linwood, Scotland, United Kingdom, United Kingdom","Linwood, Scotland, United Kingdom",United Kingdom
"Wairoa, Hawke's Bay, New Zealand, New Zealand","Wairoa, Hawke's Bay, New Zealand",New Zealand
"Hillerød, Capital Region of Denmark, Denmark, Denmark","HillerÃƒÂ¸d, Capital Region of Denmark, Denmark",Denmark
"DuPage County, IL, US","DuPage County, IL",United States of America
"Goirle, North Brabant, Netherlands, Netherlands","Goirle, North Brabant, Netherlands",Netherlands
"Park, CA, US","Park, CA",United States of America
"Concord, MA, US, US","Concord, MA, US",United States of America
"Louvain-la-Neuve, BE, BE","Louvain-la-Neuve, BE",Belgium
"Inver Grove Heights, MN, US, US","Inver Grove Heights, MN, US",United States of America
"Carrollton, GA, US, US","Carrollton, GA, US",United States of America
"United States, DE, US, US","United States, DE, US",United States of America
"Long Island, NY, US, US","Long Island, NY, US",United States of America
"Sevierville, TN, US, US","Sevierville, TN, US",United States of America
"Fenton, AU, AU","Fenton, AU",Australia
"Springfield, GB, GB","Springfield, GB",United Kingdom
"Halesowen, GB, GB","Halesowen, GB",United Kingdom
"Ilkley, GB, GB","Ilkley, GB",United Kingdom
"Amelia, OH, US, US","Amelia, OH, US",United States of America
"Wakefield-Peacedale, RI, US, US","Wakefield-Peacedale, RI, US",United States of America
"Lytham St Annes, GB, GB","Lytham St Annes, GB",United Kingdom
"Westcliff-on-Sea, GB, GB","Westcliff-on-Sea, GB",United Kingdom
"Milnthorpe, GB, GB","Milnthorpe, GB",United Kingdom
"Edgware, GB, GB","Edgware, GB",United Kingdom
"Stoneville, NC, US, US","Stoneville, NC, US",United States of America
"Bridgeport, CT, US, US","Bridgeport, CT, US",United States of America
"Mount Holly, NJ, US, US","Mount Holly, NJ, US",United States of America
"Wayanad, IN, IN","Wayanad, IN",India
"Pathanāmthitta, IN, IN","PathanÃ„Âmthitta, IN",India
"Al Fujayrah, AE, AE","Al Fujayrah, AE",United Arab Emirates
"Sebring, FL, US, US","Sebring, FL, US",United States of America
"Murrieta, CA, US, US","Murrieta, CA, US",United States of America
"Widnes, GB, GB","Widnes, GB",United Kingdom
"Edgewood, MD, US, US","Edgewood, MD, US",United States of America
"Woodford Green, GB, GB","Woodford Green, GB",United Kingdom
"Aspen, CO, US, US","Aspen, CO, US",United States of America
"Streetsboro, OH, US, US","Streetsboro, OH, US",United States of America
"Burton upon Stather, GB, GB","Burton upon Stather, GB",United Kingdom
"Mequon, WI, US, US","Mequon, WI, US",United States of America
"Versailles, Île-de-France, France, France","Versailles, ÃƒÂŽle-de-France, France",France
"Rozelle, New South Wales, Australia, Australia","Rozelle, New South Wales, Australia",Australia
"Hixson, TN, US","Hixson, TN",United States of America
"Åland Islands, Åland Islands",ÃƒÂ…land Islands,Åland Islands
"Hemel Hempstead, England, United Kingdom, United Kingdom","Hemel Hempstead, England, United Kingdom",United Kingdom
"Caulfield East, Victoria, Australia, Australia","Caulfield East, Victoria, Australia",Australia
"Sherwood, OR, US","Sherwood, OR",United States of America
"Chesterton, IN, US","Chesterton, IN",United States of America
"Amherst, NH, US","Amherst, NH",United States of America
"Piove di Sacco, Veneto, Italy, Italy","Piove di Sacco, Veneto, Italy",Italy
"Ecclesfield, England, United Kingdom, United Kingdom","Ecclesfield, England, United Kingdom",United Kingdom
"Penshurst, England, United Kingdom, United Kingdom","Penshurst, England, United Kingdom",United Kingdom
"Malvern, Victoria, Australia, Australia","Malvern, Victoria, Australia",Australia
"Sagamihara, Kanagawa, Japan, Japan","Sagamihara, Kanagawa, Japan",Japan
"Welcome, MN, US","Welcome, MN",United States of America
"Olpe, North Rhine-Westphalia, Germany, Germany","Olpe, North Rhine-Westphalia, Germany",Germany
"Malmo, Skåne County, Sweden, Sweden","Malmo, SkÃƒÂ¥ne County, Sweden",Sweden
"Narnaund, Haryana, India, India","Narnaund, Haryana, India",India
"Altona North, Victoria, Australia, Australia","Altona North, Victoria, Australia",Australia
"Southall, England, United Kingdom, United Kingdom","Southall, England, United Kingdom",United Kingdom
"Södertälje, Stockholm County, Sweden, Sweden","SÃƒÂ¶dertÃƒÂ¤lje, Stockholm County, Sweden",Sweden
"Wallace, NC, US","Wallace, NC",United States of America
"Newport, England, United Kingdom, United Kingdom","Newport, England, United Kingdom",United Kingdom
"Belouizdad, Algiers, Algeria, Algeria","Belouizdad, Algiers, Algeria",Algeria
"Komárom, Komárom-Esztergom, Hungary, Hungary","KomÃƒÂ¡rom, KomÃƒÂ¡rom-Esztergom, Hungary",Hungary
"Kingsthorpe, Queensland, Australia, Australia","Kingsthorpe, Queensland, Australia",Australia
"New Castle, DE, US","New Castle, DE",United States of America
"Timiş, Romania, Romania","TimiÃ…ÂŸ, Romania",Romania
